municipality_code,municipality_name,polling_station_code,repeat_election_date,source_status
009,"Prijedor",009B001,2026-02-08,official_repeat_list
009,"Prijedor",009B059,2026-02-08,official_repeat_list
011,"Laktaši",011B001,2026-02-08,official_repeat_list
011,"Laktaši",011B002,2026-02-08,official_repeat_list
011,"Laktaši",011B004,2026-02-08,official_repeat_list
011,"Laktaši",011B005A,2026-02-08,official_repeat_list
011,"Laktaši",011B006,2026-02-08,official_repeat_list
011,"Laktaši",011B008,2026-02-08,official_repeat_list
011,"Laktaši",011B009A,2026-02-08,official_repeat_list
011,"Laktaši",011B009B,2026-02-08,official_repeat_list
011,"Laktaši",011B010,2026-02-08,official_repeat_list
011,"Laktaši",011B011,2026-02-08,official_repeat_list
011,"Laktaši",011B012,2026-02-08,official_repeat_list
011,"Laktaši",011B014A,2026-02-08,official_repeat_list
011,"Laktaši",011B015,2026-02-08,official_repeat_list
011,"Laktaši",011B016,2026-02-08,official_repeat_list
011,"Laktaši",011B018,2026-02-08,official_repeat_list
011,"Laktaši",011B019,2026-02-08,official_repeat_list
011,"Laktaši",011B020,2026-02-08,official_repeat_list
011,"Laktaši",011B022A,2026-02-08,official_repeat_list
011,"Laktaši",011B022B,2026-02-08,official_repeat_list
011,"Laktaši",011B025,2026-02-08,official_repeat_list
011,"Laktaši",011B032,2026-02-08,official_repeat_list
011,"Laktaši",011B039B,2026-02-08,official_repeat_list
011,"Laktaši",011B040,2026-02-08,official_repeat_list
011,"Laktaši",011B042,2026-02-08,official_repeat_list
034,"Banja Luka",034B238,2026-02-08,official_repeat_list
038,"Doboj",038B003B,2026-02-08,official_repeat_list
038,"Doboj",038B006,2026-02-08,official_repeat_list
038,"Doboj",038B007A,2026-02-08,official_repeat_list
038,"Doboj",038B009A,2026-02-08,official_repeat_list
038,"Doboj",038B009B,2026-02-08,official_repeat_list
038,"Doboj",038B012,2026-02-08,official_repeat_list
038,"Doboj",038B013,2026-02-08,official_repeat_list
038,"Doboj",038B014A,2026-02-08,official_repeat_list
038,"Doboj",038B021,2026-02-08,official_repeat_list
038,"Doboj",038B024,2026-02-08,official_repeat_list
038,"Doboj",038B025B,2026-02-08,official_repeat_list
038,"Doboj",038B027,2026-02-08,official_repeat_list
038,"Doboj",038B030,2026-02-08,official_repeat_list
038,"Doboj",038B031,2026-02-08,official_repeat_list
038,"Doboj",038B044,2026-02-08,official_repeat_list
038,"Doboj",038B052,2026-02-08,official_repeat_list
038,"Doboj",038B055,2026-02-08,official_repeat_list
038,"Doboj",038B056,2026-02-08,official_repeat_list
038,"Doboj",038B059B,2026-02-08,official_repeat_list
038,"Doboj",038B066,2026-02-08,official_repeat_list
038,"Doboj",038B068,2026-02-08,official_repeat_list
038,"Doboj",038B070,2026-02-08,official_repeat_list
038,"Doboj",038B071,2026-02-08,official_repeat_list
038,"Doboj",038B076,2026-02-08,official_repeat_list
038,"Doboj",038B077,2026-02-08,official_repeat_list
